OPENING_ID,SITE_PREP_,SITEPr_1_Meth,SITE_PREP1,SITE_PRE_1,SITE_PRE_2,SITEPr_2_Meth,SITE_PRE_3,SITE_PRE_4,SITE_PRE_5,SITEPr_3_Type,SITEPr_3_Meth,SITEPr_3_Area,SITEPr_3_Date,SITEPr_4_Type,SITEPr_4_Meth,SITEPr_4_Area,SITEPr_4_Date,SITEPr_5_Type,SITEPr_5_Meth,SITEPr_5_Area,SITEPr_5_Date,SITEPr_6_Type,SITEPr_6_Meth,SITEPr_6_Area,SITEPr_6_Date,SITEPr_7_Type,SITEPr_7_Meth,SITEPr_7_Area,SITEPr_7_Date,SITEPr_8_Type,SITEPr_8_Meth,SITEPr_8_Area,SITEPr_8_Date,SITEPr_9_Type,SITEPr_9_Meth,SITEPr_9_Area,SITEPr_9_Date,SITEPr_10_Type,SITEPr_10_Meth,SITEPr_10_Area,SITEPr_10_Date,PLANTING_1,PLANTING_2,PLANTING_3,PLANT_1_SP1,PLANT_1_NUM2,PLANT_1_SP2,PLANT_1_NUM2,PLANT_1_SP3,PLANT_1_NUM3,PLANT_1_SP4,PLANT_1_NUM4,PLANT_1_SP5,PLANT_1_NUM5,PLANT_1_SP6,PLANT_1_NUM6,PLANT_1_SP7,PLANT_1_NUM7,PLANT_1_SP8,PLANT_1_NUM8,PLANT_1_SP9,PLANT_1_NUM9,PLANT_1_SP10,PLANT_1_NUM10,PLANT_1_SP11,PLANT_1_NUM11,PLANT_1_SP12,PLANT_1_NUM12,PLANT_1_SP13,PLANT_1_NUM13,PLANT_1_SP14,PLANT_1_NUM14,PLANTING_4,PLANTING_5,PLANTING_6,PLANT_2_SP1,PLANT_2_NUM1,PLANT_2_SP2,PLANT_2_NUM2,PLANT_2_SP3,PLANT_2_NUM3,PLANT_2_SP4,PLANT_2_NUM4,PLANT_2_SP5,PLANT_2_NUM5,PLANT_2_SP6,PLANT_2_NUM6,PLANT_2_SP7,PLANT_2_NUM7,PLANT_2_SP8,PLANT_2_NUM8,PLANT_2_SP9,PLANT_2_NUM9,PLANT_2_SP10,PLANT_2_NUM10,PLANT_2_SP11,PLANT_2_NUM11,PLANT_2_SP12,PLANT_2_NUM12,PLANT_2_SP13,PLANT_2_NUM13,PLANT_2_SP14,PLANT_2_NUM14,PLANT_2_SP15,PLANT_2_NUM15,PLANT_2_SP16,PLANT_2_NUM16,PLANT_2_SP17,PLANT_2_NUM17,PLANT_2_SP18,PLANT_2_NUM18,PLANT_2_SP19,PLANT_2_NUM19,PLANT_2_SP20,PLANT_2_NUM20,PLANT_2_SP21,PLANT_2_NUM21,PLANT_2_SP22,PLANT_2_NUM22,PLANT_2_SP23,PLANT_2_NUM23,PLANT_2_SP24,PLANT_2_NUM24,PLANT_2_SP25,PLANT_2_NUM25,PLANT_2_SP26,PLANT_2_NUM26,PLANT_2_SP27,PLANT_2_NUM27,PLANT_2_SP28,PLANT_2_NUM28,PLANT_2_SP29,PLANT_2_NUM29,PLANT_2_SP30,PLANT_2_NUM30,PLANTING_C,PLANT_3_Type,PLANT_3_Meth,PLANT_3_Area,PLANT_3_Date,PLANT_3_SP1,PLANT_3_NUM1,PLANT_3_SP2,PLANT_3_NUM2,PLANT_3_SP3,PLANT_3_NUM3,PLANT_3_SP4,PLANT_3_NUM4,PLANT_4_Type,PLANT_4_Meth,PLANT_4_Area,PLANT_4_Date,PLANT_4_SP1,PLANT_4_NUM1,PLANT_4_SP2,PLANT_4_NUM2,PLANT_4_SP3,PLANT_4_NUM3,PLANT_4_SP4,PLANT_4_NUM4,PLANT_4_SP5,PLANT_4_NUM5,PLANT_5_Type,PLANT_5_Meth,PLANT_5_Area,PLANT_5_Date,PLANT_5_SP1,PLANT_5_NUM1,PLANT_5_SP2,PLANT_5_NUM2,PLANT_6_Type,PLANT_6_Meth,PLANT_6_Area,PLANT_6_Date,PLANT_6_SP1,PLANT_6_NUM1,PLANT_6_SP2,PLANT_6_NUM2
-478670000,BU,LAND,1,01/11/1993,ME,PILE,7,01/07/1993,3,ME,MOUND,3.1,06/08/1996,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,RP,3.1,23/06/1997,PLI,1800,SX,1200,,,,,,,,,,,,,,,,,,,,,,,,,PL,14.2,21/05/1994,PLI,18896,SX,2550,PLI,1820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-478650000,BU,LAND,44,01/12/1991,ME,DISC,6.1,16/08/1996,3,ME,LRIP,44,01/12/1991,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,FP,15.1,23/06/1997,PLI,16200,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-478640000,ME,LRIP,37,01/12/1991,BU,LAND,37,01/12/1991,2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,FP,37.6,23/06/1997,PLI,30240,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-478630000,ME,CHAIN,52,01/10/1987,ME,DISC,60.3,31/10/1993,3,MA,HAND,67,01/11/1992,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,FP,67,07/05/1994,PLI,80500,FDI,10900,FDI,1200,,,,,,,,,,,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-478620000,ME,CHAIN,17,01/10/1987,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-478610000,GS,ROADS,0,01/01/1987,ME,CHAIN,31,01/08/1985,3,BU,WINDR,2,01/10/1985,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-478600000,GS,ROADS,52,01/01/1987,ME,CHAIN,52,01/08/1985,2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-478590000,MA,HAND,3,01/10/1986,BU,LAND,3,01/11/1986,2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-478580000,MA,HAND,58,01/11/1992,BU,LAND,79,01/10/1986,4,MA,HAND,29,01/10/1991,ME,CHAIN,15,01/10/1986,,,,,,,,,,,,,,,,,,,,,,,,,PL,32,07/05/1994,PLI,43000,FDI,5600,,,,,,,,,,,,,,,,,,,,,,,,,PL,14,01/04/1993,PLI,22000,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,PL,PL,36,01/04/1993,PLI,56000,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-478570000,ME,LRIP,13,01/05/1986,BU,LAND,13,01/05/1986,2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,FP,8,01/04/1993,PLI,8000,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,FP,5,01/04/1993,PLI,5000,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-478550000,GS,ROADS,15,01/05/1986,ME,LRIP,15,01/05/1986,3,BU,LAND,15,01/05/1986,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,FP,19,01/04/1993,PLI,24000,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-478540000,BU,LAND,13,01/05/1986,ME,LRIP,13,01/05/1986,3,GS,ROADS,13,01/05/1986,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-478530000,GS,ROADS,7,01/05/1986,BU,LAND,7,01/05/1986,3,ME,LRIP,7,01/05/1986,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,FP,7,01/04/1993,PLI,5000,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-478520000,ME,LRIP,57,01/05/1986,BU,LAND,57,01/05/1986,2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,FP,38,01/04/1993,PLI,41000,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,FP,8,01/04/1993,PLI,8000,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,PL,FP,4,01/04/1993,FDI,4000,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-478510000,BU,LAND,2,01/10/1985,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-478500000,BU,LAND,3,01/10/1985,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,FP,2,01/05/1992,PLI,2000,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-478490000,BU,LAND,9,01/11/1983,ME,LRIP,9,01/11/1983,2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-478480000,ME,LRIP,52,01/11/1983,BU,LAND,52,01/11/1983,3,MA,HAND,52,01/11/1981,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-478470000,MA,HAND,59,01/11/1982,BU,LAND,59,01/11/1982,4,ME,LRIP,59,01/11/1983,BU,LAND,59,01/11/1982,,,,,,,,,,,,,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-478460000,ME,LRIP,55,01/11/1981,BU,LAND,55,01/11/1980,2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-478450000,BU,LAND,13,01/11/1984,BU,LAND,49,01/06/1979,5,ME,MOUND,3,01/09/1991,MA,HAND,49,01/06/1980,BU,LAND,49,01/06/1979,,,,,,,,,,,,,,,,,,,,,FP,11,01/05/1992,PLI,6000,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,PL,3,01/05/1992,SX,1000,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-478440000,MA,HAND,82,01/11/1983,BU,LAND,11,01/11/1983,4,ME,LRIP,11,01/11/1983,ME,MOUND,11,01/09/1991,,,,,,,,,,,,,,,,,,,,,,,,,PL,11,01/05/1992,SX,9000,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,FP,21.5,12/07/1999,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-478430000,BU,PBURN,82,01/11/1982,ME,MOUND,10,01/09/1991,3,BU,LAND,82,01/11/1981,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,FP,34.5,13/06/1995,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,FP,26.4,28/05/2001,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,PL,PL,10,01/05/1992,SX,8000,NA,NA,,,,,PL,PL,71,01/08/1990,PLI,63000,,,,,,,,,,,,,,,,,,,,,,,,
-478420000,BU,SPOT,12,01/07/1984,ME,LRIP,58,01/07/1984,4,ME,CHAIN,15,01/07/1984,BU,LAND,58,01/07/1984,,,,,,,,,,,,,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-478410000,ME,CHAIN,45,01/11/1980,ME,LRIP,45,01/11/1980,3,BU,LAND,45,01/11/1980,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-478400000,ME,LRIP,79,01/11/1982,BU,LAND,79,01/11/1981,3,BU,PBURN,15,01/11/1982,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,PL,17,01/06/1990,PLI,11000,SX,0,,,,,,,,,,,,,,,,,,,,,,,,,NA,0,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
