"","Plot_ID","AOS_year","AOS_pest","AOS_severity","Burn_status","dNBR_count","dNBR_mean","dNBR_median","dNBR_min","dNBR_max","dNBR_range","Fire_ID","Fire_Name","CBI_A","CBI_B","CBI_C","CBC_D","CBI_US","CBI_OS","CBI_TOT","Elevation","Aspect","Slope_.","UTM_Zone","Sam_SPEC_CD_1","Sam_SPEC_PCT_1","Sam_SPEC_CD_2","Sam_SPEC_PCT_2","Sam_SPEC_CD_3","Sam_SPEC_PCT_3","satellite","PLI_PC","SX_PC","BL_PC","FDI_PC","SB_PC","SE_PC","AT_PC","ACT_PC","conifer_PC","broadleaf_PC","CBI_dNBR_VRI_March2021_csv_new_test","CBI_dNBR_VRI_March2021_csv_AOS_YEAR","CBI_dNBR_VRI_March2021_csv_AOS_FHF","CBI_dNBR_VRI_March2021_csv_AOS_SEV","BUFF_DIST","FEATURE_ID","MAP_ID","POLYGON_ID","OPENING_IND","POLYGON_AREA","SURFACE_EXPRESSION","MODIFYING_PROCESS","SITE_POSITION_MESO","SOIL_NUTRIENT_REGIME","BCLCS_LEVEL_2","BCLCS_LEVEL_3","BCLCS_LEVEL_4","BCLCS_LEVEL_5","REFERENCE_YEAR","ATTRIBUTION_BASE_DATE","PROJECTED_DATE","SHRUB_HEIGHT","SHRUB_CROWN_CLOSURE","SHRUB_COVER_PATTERN","HERB_COVER_TYPE","HERB_COVER_PATTERN","HERB_COVER_PCT","BRYOID_COVER_PCT","NON_VEG_COVER_PATTERN_1","NON_VEG_COVER_PCT_1","NON_VEG_COVER_TYPE_1","NON_VEG_COVER_PATTERN_2","NON_VEG_COVER_PCT_2","NON_VEG_COVER_TYPE_2","NON_VEG_COVER_PATTERN_3","NON_VEG_COVER_PCT_3","NON_VEG_COVER_TYPE_3","NON_VEG_COVER_SUM","LAND_COVER_CLASS_CD_1","EST_COVERAGE_PCT_1","SOIL_MOISTURE_REGIME_1","LAND_COVER_CLASS_CD_2","EST_COVERAGE_PCT_2","SOIL_MOISTURE_REGIME_2","LAND_COVER_CLASS_CD_3","EST_COVERAGE_PCT_3","SOIL_MOISTURE_REGIME_3","ORG_UNIT_CODE","BEC_ZONE_CODE","BEC_SUBZONE","BEC_VARIANT","BEC_PHASE","EARLIEST_NONLOGGING_DIST_TYPE","EARLIEST_NONLOGGING_DIST_DATE","STAND_PERCENTAGE_DEAD","FREE_TO_GROW_IND","HARVEST_DATE","QUAD_DIAM_125","EST_SITE_INDEX_SPECIES_CD","EST_SITE_INDEX","CROWN_CLOSURE","CROWN_CLOSURE_CLASS_CD","SITE_INDEX","BASAL_AREA","VRI_LIVE_STEMS_PER_HA","VRI_DEAD_STEMS_PER_HA","TREE_COVER_PATTERN","VERTICAL_COMPLEXITY","SPECIES_CD_1","SPECIES_PCT_1","SPECIES_CD_2","SPECIES_PCT_2","SPECIES_CD_3","SPECIES_PCT_3","SPECIES_CD_4","SPECIES_PCT_4","SPECIES_CD_5","SPECIES_PCT_5","SPECIES_CD_6","SPECIES_PCT_6","PROJ_AGE_1","PROJ_AGE_CLASS_CD_1","PROJ_AGE_2","PROJ_AGE_CLASS_CD_2","PROJ_HEIGHT_1","PROJ_HEIGHT_CLASS_CD_1","PROJ_HEIGHT_2","PROJ_HEIGHT_CLASS_CD_2","LIVE_VOL_PER_HA_SPP1_125","LIVE_VOL_PER_HA_SPP2_125","LIVE_VOL_PER_HA_SPP3_125","LIVE_VOL_PER_HA_SPP4_125","LIVE_STAND_VOLUME_125","DEAD_STAND_VOLUME_125","WHOLE_STEM_BIOMASS_PER_HA","BRANCH_BIOMASS_PER_HA","FOLIAGE_BIOMASS_PER_HA","BARK_BIOMASS_PER_HA","UTM_E","UTM_N","OPENING_ID","OPENING_ST","APPROVE_DA","DISTURBANC","DISTURBA_1","DENUDATION","DENUDATI_1","DENUDATI_2","DENUDATI_3","DENUDATI_4","DENUDATI_5","DENUDATI_6","DENUDATI_7","DENUDATI_8","DENUDATI_9","DENUDAT_10","SITE_PREP_","SITE_PREP1","SITE_PRE_1","SITE_PRE_2","SITE_PRE_3","SITE_PRE_4","SITE_PRE_5","PLANTING_1","PLANTING_2","PLANTING_3","PLANTING_4","PLANTING_5","PLANTING_6","PLANTING_C","BRUSHING_T","BRUSHING_1","BRUSHING_C","BRUSHING_2","SPACING_TR","SPACING_CO","SPACING__1","FERTILIZAT","FERTILIZ_1","FERTILIZ_2","PRUNING_TR","PRUNING_CO","PRUNING__1","SLOPE","ASPECT","coords.x1","coords.x2","optional"
"196","BS143",2007,"IBM","L","High",7,0.844025203,0.908455074,0.544772625,0.976488411,0.431715786,"R21721","Nadina",2.6,2.63,2.75,2.1,2.65,2.1,2.5,961.919678,"215","2",9,"PLI",75,"BL",20,"SX",5,"Sentinel 2",75,5,20,0,0,0,0,0,100,0,100,2007,"IBM","L",30,13368061,"9.30E+99",50985597,"N",23.2,"N","N","M","C","T","U","TC","OP",2010,2015-02-16,2016-01-01,1.5,15,3,"HE",3,10,5,2,2,"RZ",NA,NA,"",NA,NA,"",2,"TC",100,4,"",NA,NA,NA,NA,NA,"DND","SBS","dk",NA,NA,"",NA,NA,"Y",1979-01-01,16.881,"PLI",20,45,4,18.6,22.59218,1575,0,8,1,"PLI",75,"BL",20,"SX",5,"",NA,NA,NA,NA,NA,36,2,37,2,13.2,2,10.7,2,55.908,5.773,2.494,NA,64.175,NA,45.537,6.149,5.382,4.812,657169,5981802,-500770000,"FG",1979-01-01,1979-01-01,1979-07-01,"L","CLEAR",NA,NA,1979-07-01,NA,NA,NA,NA,NA,1,"BU",79,1980-08-01,"ME",70,1979-07-01,2,"PL",1,1986-07-01,"PL",50,1980-06-01,2,NA,0,NA,0,0,NA,0,0,NA,1,0,NA,0,3.3,346.7,960440.960646686,995388.562158776,TRUE
"197","BS144",2006,"IBM","M","High",6,0.737683386,0.74450174,0.657142699,0.814179301,0.157036602,"R21721","Nadina",2.7,2.75,2.88,2.2,2.77,2.2,2.61,903.630859,"180","1",9,"SX",95,"BL",5,"",0,"Sentinel 2",0,95,5,0,0,0,0,0,100,0,100,2006,"IBM","M",30,13368974,"9.30E+100",63575838,"N",4.8,"N","N","M","C","T","U","TC","SP",2012,2015-11-25,2016-01-01,0.6,45,8,"HF",3,15,NA,NA,NA,"",NA,NA,"",NA,NA,"",0,"TC",100,4,"",NA,NA,NA,NA,NA,"DND","SBS","dk",NA,NA,"IBM",2012-01-01,52,"N",NA,24.845,"",NA,20,2,10.3,14.90899,341,350,8,3,"SX",95,"BL",5,"",NA,"",NA,NA,NA,NA,NA,151,8,134,7,23.4,3,21.5,3,81.195,4.834,NA,NA,86.029,118.942,39.314,7.915,4.409,4.407,659878,5982460,1065427,"FG",2006-03-30,2005-11-01,2006-03-23,"L","CCRES",NA,"SALVP",2006-03-23,NA,NA,NA,NA,NA,1,NA,0,NA,NA,0,NA,0,"PL",7.8,2007-06-11,NA,0,NA,1,NA,0,NA,0,0,NA,0,0,NA,0,0,NA,0,8.9,193.5,963168.270643659,995932.911505836,TRUE
"197.1","BS144",2006,"IBM","M","High",6,0.737683386,0.74450174,0.657142699,0.814179301,0.157036602,"R21721","Nadina",2.7,2.75,2.88,2.2,2.77,2.2,2.61,903.630859,"180","1",9,"SX",95,"BL",5,"",0,"Sentinel 2",0,95,5,0,0,0,0,0,100,0,100,2006,"IBM","M",30,13368974,"9.30E+100",63575838,"N",4.8,"N","N","M","C","T","U","TC","SP",2012,2015-11-25,2016-01-01,0.6,45,8,"HF",3,15,NA,NA,NA,"",NA,NA,"",NA,NA,"",0,"TC",100,4,"",NA,NA,NA,NA,NA,"DND","SBS","dk",NA,NA,"IBM",2012-01-01,52,"N",NA,24.845,"",NA,20,2,10.3,14.90899,341,350,8,3,"SX",95,"BL",5,"",NA,"",NA,NA,NA,NA,NA,151,8,134,7,23.4,3,21.5,3,81.195,4.834,NA,NA,86.029,118.942,39.314,7.915,4.409,4.407,659878,5982460,1726339,"APP",2019-11-15,2018-07-31,2018-07-31,"B",NA,NA,NA,2018-07-31,NA,NA,NA,NA,NA,1,NA,0,NA,NA,0,NA,0,NA,0,NA,NA,0,NA,1,NA,0,NA,0,0,NA,0,0,NA,0,0,NA,0,8.9,193.5,963168.270643659,995932.911505836,TRUE
"198","BS145",2006,"IBM","M","Medium",7,0.696143406,0.693329453,0.628632247,0.751057148,0.122424901,"R21721","Nadina",2.9,2.75,2.88,2.4,2.85,2.4,2.72,912.802917,"not recorded","not recorded",9,"SX",63,"BL",35,"PLI",2,"Sentinel 2",2,63,35,0,0,0,0,0,100,0,100,2006,"IBM","M",30,13935069,"9.30E+100",69125718,"Y",2.1,"","","","","N","U","SL","SP",2015,2015-05-26,2016-01-01,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",0,"",NA,NA,"",NA,NA,NA,NA,NA,"DND","SBS","dk",NA,NA,"",NA,NA,"N",2015-03-01,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,660425,5982299,1651427,"APP",2015-05-26,2015-03-01,2015-03-31,"L","CLEAR",NA,"SALVP",2015-03-31,NA,NA,NA,NA,NA,1,NA,0,NA,NA,0,NA,0,"PL",2.3,2016-06-24,NA,0,NA,1,NA,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,963706.541110131,995748.402732708,TRUE
"199","BS145",2006,"IBM","M","Medium",7,0.696143406,0.693329453,0.628632247,0.751057148,0.122424901,"R21721","Nadina",2.9,2.75,2.88,2.4,2.85,2.4,2.72,912.802917,"not recorded","not recorded",9,"SX",63,"BL",35,"PLI",2,"Sentinel 2",2,63,35,0,0,0,0,0,100,0,100,2006,"IBM","M",30,13935067,"9.30E+100",69955650,"N",2.7,"P","N","F","B","N","W","SL","DE",2012,2016-01-26,2016-01-01,0.6,75,8,"",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",0,"SL",100,7,"",NA,NA,NA,NA,NA,"DND","SBS","dk",NA,NA,"",NA,NA,"N",NA,20.652,"",NA,8,1,6.4,1.99942,75,0,3,3,"SX",100,"",NA,"",NA,"",NA,NA,NA,NA,NA,194,8,NA,NA,20.4,3,NA,NA,10.757,NA,NA,NA,10.757,NA,5.338,1.059,0.559,0.59,660425,5982299,1651427,"APP",2015-05-26,2015-03-01,2015-03-31,"L","CLEAR",NA,"SALVP",2015-03-31,NA,NA,NA,NA,NA,1,NA,0,NA,NA,0,NA,0,"PL",2.3,2016-06-24,NA,0,NA,1,NA,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,963706.541110131,995748.402732708,TRUE
"200","BS145",2006,"IBM","M","Medium",7,0.696143406,0.693329453,0.628632247,0.751057148,0.122424901,"R21721","Nadina",2.9,2.75,2.88,2.4,2.85,2.4,2.72,912.802917,"not recorded","not recorded",9,"SX",63,"BL",35,"PLI",2,"Sentinel 2",2,63,35,0,0,0,0,0,100,0,100,2006,"IBM","M",30,13935068,"9.30E+100",68865621,"N",18.5,"N","N","M","C","T","U","TC","SP",2012,2015-11-25,2016-01-01,0.6,45,8,"HE",3,10,NA,NA,NA,"",NA,NA,"",NA,NA,"",0,"TC",100,4,"",NA,NA,NA,NA,NA,"DND","SBS","dk",NA,NA,"IBM",2012-01-01,46,"N",NA,32.045,"",NA,20,2,8.9,14.92387,414,375,8,5,"SX",63,"BL",35,"PLI",2,"",NA,NA,NA,NA,NA,154,8,79,4,21.4,3,13.8,2,47.016,13.497,2.006,NA,62.519,81,30.317,6.332,4.18,3.561,660425,5982299,1651427,"APP",2015-05-26,2015-03-01,2015-03-31,"L","CLEAR",NA,"SALVP",2015-03-31,NA,NA,NA,NA,NA,1,NA,0,NA,NA,0,NA,0,"PL",2.3,2016-06-24,NA,0,NA,1,NA,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,963706.541110131,995748.402732708,TRUE
"201","BS146",2006,"IBM","M","High",7,0.737597159,0.754088163,0.669228137,0.77874583,0.109517694,"R21721","Nadina",2.3,2.5,2.5,2,2.42,2,2.31,938.975525,"254","25",9,"SX",70,"BL",20,"PLI",5,"Sentinel 2",0,5,0,0,0,0,95,0,5,95,100,2006,"IBM","M",30,10812542,"093L007",79609726,"N",54.5,"N","N","M","C","T","U","TC","OP",2013,2015-02-10,2016-01-01,3,30,8,"HE",3,5,5,2,2,"RZ",NA,NA,"",NA,NA,"",2,"TC",100,4,"",NA,NA,NA,NA,NA,"DND","SBS","mc",2,NA,"IBM",2001-01-01,NA,"N",NA,38.03,"",NA,35,3,12,29.941101,349,100,8,3,"SX",70,"BL",20,"PLI",5,"AT",5,NA,NA,NA,NA,203,8,153,8,30.2,4,22.3,3,186.705,39.425,13.416,6.251,245.797,NA,115.966,23.159,14.025,14.007,644644,5988578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,948246.236016014,1002709.02776049,TRUE
"202","BS146",2006,"IBM","M","High",7,0.737597159,0.754088163,0.669228137,0.77874583,0.109517694,"R21721","Nadina",2.3,2.5,2.5,2,2.42,2,2.31,938.975525,"254","25",9,"SX",70,"BL",20,"PLI",5,"Sentinel 2",0,5,0,0,0,0,95,0,5,95,100,2006,"IBM","M",30,10812024,"093L007",79049938,"N",9,"N","N","M","C","N","U","HE","DE",2013,2015-02-10,2016-01-01,0.5,20,3,"HE",8,70,NA,3,1,"BR",NA,NA,"",NA,NA,"",1,"HE",100,3,"",NA,NA,NA,NA,NA,"DND","SBS","mc",2,NA,"IBM",2013-01-01,95,"N",NA,24.416,"",NA,2,0,12.8,1.0378,25,600,3,3,"BL",80,"SX",20,"",NA,"",NA,NA,NA,NA,NA,83,5,93,5,16.6,2,20.6,3,3.288,1.238,NA,NA,4.526,121.062,2.147,0.506,0.423,0.281,644644,5988578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,948246.236016014,1002709.02776049,TRUE
"203","BS146",2006,"IBM","M","High",7,0.737597159,0.754088163,0.669228137,0.77874583,0.109517694,"R21721","Nadina",2.3,2.5,2.5,2,2.42,2,2.31,938.975525,"254","25",9,"SX",70,"BL",20,"PLI",5,"Sentinel 2",0,5,0,0,0,0,95,0,5,95,100,2006,"IBM","M",30,10811582,"093L007",77769897,"N",7.3,"N","N","M","C","T","U","TB","SP",2013,2015-02-10,2016-01-01,1,10,3,"HE",8,70,NA,NA,NA,"",NA,NA,"",NA,NA,"",0,"TB",80,3,"HE",20,3,NA,NA,NA,"DND","SBS","mc",2,NA,"",NA,NA,"N",NA,20.778,"",NA,10,1,16.2,3.71199,118,20,8,2,"AT",95,"SX",5,"",NA,"",NA,NA,NA,NA,NA,78,4,73,4,20.4,3,19.8,3,16.063,1.211,NA,NA,17.274,NA,13.34,2.301,0.506,2.865,644644,5988578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,948246.236016014,1002709.02776049,TRUE
"204","BS147",2006,"IBM","M","High",7,0.920738757,0.918465734,0.861516416,0.976297855,0.114781439,"R21721","Nadina",2.2,2.38,2.88,1.8,2.46,1.8,2.28,898.9375,"148","30",9,"AT",90,"SX",10,"",0,"Sentinel 2",0,10,0,0,0,0,90,0,10,90,100,2006,"IBM","M",30,10837760,"093L007",79378741,"N",61.3,"N","N","M","C","N","U","SL","OP",2013,2015-01-30,2016-01-01,0.4,40,8,"HE",8,40,NA,NA,NA,"",NA,NA,"",NA,NA,"",0,"SL",100,3,"",NA,NA,NA,NA,NA,"DND","SBS","mc",2,NA,"IBM",2013-01-01,67,"N",NA,26.295,"",NA,4,0,11.4,1.04601,20,75,3,3,"AT",90,"SX",10,"",NA,"",NA,NA,NA,NA,NA,93,5,93,5,16.3,2,14.5,2,2.996,0.442,NA,NA,3.438,11.174,2.54,0.441,0.103,0.535,644472,5986356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,947980.807336203,1000489.957522,TRUE
"205","BS148",2006,"IBM","M","High",7,0.814036361,0.803851664,0.750950098,0.886634111,0.135684013,"R21721","Nadina",2.25,2,1.75,1.9,2,1.9,1.97,898.321655,"229","not recorded",9,"AT",90,"SX",10,"",0,"Sentinel 2",0,10,0,0,0,0,90,0,10,90,100,2006,"IBM","M",30,13765985,"9.30E+98",74747922,"N",13.3,"N","N","M","C","N","U","SL","OP",2013,2015-01-03,2016-01-01,0.4,40,8,"HE",8,40,NA,NA,NA,"",NA,NA,"",NA,NA,"",0,"SL",100,3,"",NA,NA,NA,NA,NA,"DND","SBS","mc",2,NA,"",NA,NA,"N",NA,26.402,"",NA,4,0,11.4,1.41409,27,75,3,3,"AT",90,"SX",10,"",NA,"",NA,NA,NA,NA,NA,93,5,93,5,16.3,2,14.5,2,4.381,0.624,NA,NA,5.005,NA,3.687,0.639,0.149,0.778,643772,5985755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,947257.802505133,999917.469123869,TRUE
"206","BS148",2006,"IBM","M","High",7,0.814036361,0.803851664,0.750950098,0.886634111,0.135684013,"R21721","Nadina",2.25,2,1.75,1.9,2,1.9,1.97,898.321655,"229","not recorded",9,"AT",90,"SX",10,"",0,"Sentinel 2",0,10,0,0,0,0,90,0,10,90,100,2006,"IBM","M",30,10837062,"093L006",74548291,"N",9.7,"N","N","M","C","N","U","SL","OP",2013,2015-01-18,2016-01-01,0.4,40,8,"HE",8,40,NA,NA,NA,"",NA,NA,"",NA,NA,"",0,"SL",100,3,"",NA,NA,NA,NA,NA,"DND","SBS","mc",2,NA,"IBM",2013-01-01,67,"N",NA,26.295,"",NA,4,0,11.4,1.04601,20,75,3,3,"AT",90,"SX",10,"",NA,"",NA,NA,NA,NA,NA,93,5,93,5,16.3,2,14.5,2,2.996,0.442,NA,NA,3.438,10.459,2.54,0.441,0.103,0.535,643772,5985755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,947257.802505133,999917.469123869,TRUE
"207","BS149",2006,"IBM","L","High",7,0.608649075,0.626196504,0.43006444,0.732295632,0.302231193,"R21721","Nadina",2.2,1.75,1.38,2,1.81,2,1.86,887.246155,"180","9",9,"AT",90,"SX",10,"",0,"Sentinel 2",0,10,0,0,0,0,90,0,10,90,100,2006,"IBM","L",30,13766105,"9.30E+98",35016925,"N",24,"N","N","M","C","T","U","TB","SP",2013,2015-01-01,2016-01-01,0.4,40,8,"HE",8,30,NA,2,4,"RZ",NA,NA,"",NA,NA,"",4,"TB",100,3,"",NA,NA,NA,NA,NA,"DND","SBS","mc",2,NA,"",NA,NA,"N",NA,25.885,"",NA,15,1,11.9,10.19372,197,5,3,3,"AT",90,"SX",10,"",NA,"",NA,NA,NA,NA,NA,133,7,133,7,20.2,3,18.3,2,31.145,5.8,NA,NA,36.945,NA,32.089,5.569,1.305,6.755,637342,5983430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,940751.605303275,997860.569424743,TRUE
"208","BS149",2006,"IBM","L","High",7,0.608649075,0.626196504,0.43006444,0.732295632,0.302231193,"R21721","Nadina",2.2,1.75,1.38,2,1.81,2,1.86,887.246155,"180","9",9,"AT",90,"SX",10,"",0,"Sentinel 2",0,10,0,0,0,0,90,0,10,90,100,2006,"IBM","L",30,13766308,"9.30E+98",34867079,"N",82.1,"N","N","M","C","T","U","TC","SP",2013,2015-01-01,2016-01-01,1,45,8,"HE",3,15,NA,2,5,"RZ",NA,NA,"",NA,NA,"",5,"TC",100,4,"",NA,NA,NA,NA,NA,"DND","SBS","mc",2,NA,"IBM",2007-01-01,78,"N",NA,29.353,"",NA,15,1,15.1,9.988501,150,400,8,3,"PLI",50.0999985,"SX",49.9000015,"",NA,"",NA,NA,NA,NA,NA,203,8,203,8,25.1,3,27.2,3,40.366,39.469,NA,NA,79.835,274.358,39.224,5.877,3.966,4.093,637342,5983430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,940751.605303275,997860.569424743,TRUE
"209","BS150",2006,"IBM","L","Medium",5,0.563830304,0.579078078,0.504181266,0.620053411,0.115872145,"R21721","Nadina",1.4,1.38,1.13,1.1,1.31,1.1,1.25,907.521729,"219","5",9,"AT",90,"SX",10,"",0,"Sentinel 2",0,10,0,0,0,0,90,0,10,90,100,2006,"IBM","L",30,13766105,"9.30E+98",35016925,"N",24,"N","N","M","C","T","U","TB","SP",2013,2015-01-01,2016-01-01,0.4,40,8,"HE",8,30,NA,2,4,"RZ",NA,NA,"",NA,NA,"",4,"TB",100,3,"",NA,NA,NA,NA,NA,"DND","SBS","mc",2,NA,"",NA,NA,"N",NA,25.885,"",NA,15,1,11.9,10.19372,197,5,3,3,"AT",90,"SX",10,"",NA,"",NA,NA,NA,NA,NA,133,7,133,7,20.2,3,18.3,2,31.145,5.8,NA,NA,36.945,NA,32.089,5.569,1.305,6.755,637602,5983461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,941012.023371399,997880.606178502,TRUE
"210","BS150",2006,"IBM","L","Medium",5,0.563830304,0.579078078,0.504181266,0.620053411,0.115872145,"R21721","Nadina",1.4,1.38,1.13,1.1,1.31,1.1,1.25,907.521729,"219","5",9,"AT",90,"SX",10,"",0,"Sentinel 2",0,10,0,0,0,0,90,0,10,90,100,2006,"IBM","L",30,13766308,"9.30E+98",34867079,"N",82.1,"N","N","M","C","T","U","TC","SP",2013,2015-01-01,2016-01-01,1,45,8,"HE",3,15,NA,2,5,"RZ",NA,NA,"",NA,NA,"",5,"TC",100,4,"",NA,NA,NA,NA,NA,"DND","SBS","mc",2,NA,"IBM",2007-01-01,78,"N",NA,29.353,"",NA,15,1,15.1,9.988501,150,400,8,3,"PLI",50.0999985,"SX",49.9000015,"",NA,"",NA,NA,NA,NA,NA,203,8,203,8,25.1,3,27.2,3,40.366,39.469,NA,NA,79.835,274.358,39.224,5.877,3.966,4.093,637602,5983461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,941012.023371399,997880.606178502,TRUE
"211","Bs151",2008,"IBM","T","High",9,0.658199254,0.648037672,0.487738281,0.786331296,0.298593014,"R21721","Nadina",2,2.38,1.88,2.3,2.08,2.3,2.14,755.506104,"0","2",9,"AT",75,"SX",20,"ACT",5,"Sentinel 2",0,20,0,0,0,0,75,5,20,80,100,2008,"IBM","T",30,10811855,"093L007",35978751,"N",31.1,"P","B","F","D","T","U","TB","SP",2013,2015-02-13,2016-01-01,3,20,6,"HE",8,45,5,2,5,"RI",3,5,"RS",NA,NA,"",10,"TB",100,6,"",NA,NA,NA,NA,NA,"DND","SBS","dk",NA,NA,"IBM",2013-01-01,50,"N",NA,21.932,"",NA,10,1,16.5,5.13103,144,200,3,3,"AT",75,"SX",20,"ACT",5,"",NA,NA,NA,NA,NA,83,5,83,5,21.4,3,19.7,3,16.441,5.828,1.007,NA,23.276,24.457,16.603,2.975,0.761,3.282,654131,5987148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,957639.677374223,1000873.70915859,TRUE
"212","BS152",2008,"IBM","T","High",7,0.608811766,0.724223256,0.304994106,0.820103526,0.51510942,"R21721","Nadina",2.7,2.63,2.63,1.9,2.65,1.9,2.44,758.874512,"flat","0",9,"AT",75,"SX",20,"ACT",5,"Sentinel 2",0,20,0,0,0,0,75,5,20,80,100,2008,"IBM","T",30,10811855,"093L007",35978751,"N",31.1,"P","B","F","D","T","U","TB","SP",2013,2015-02-13,2016-01-01,3,20,6,"HE",8,45,5,2,5,"RI",3,5,"RS",NA,NA,"",10,"TB",100,6,"",NA,NA,NA,NA,NA,"DND","SBS","dk",NA,NA,"IBM",2013-01-01,50,"N",NA,21.932,"",NA,10,1,16.5,5.13103,144,200,3,3,"AT",75,"SX",20,"ACT",5,"",NA,NA,NA,NA,NA,83,5,83,5,21.4,3,19.7,3,16.441,5.828,1.007,NA,23.276,24.457,16.603,2.975,0.761,3.282,654186,5987278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,957699.984007672,1001001.6261984,TRUE
"213","BS153",2006,"IBM","M","High",7,0.651926254,0.660960436,0.453530431,0.791309416,0.337778986,"R21721","Nadina",2.25,1.63,1.88,1.9,1.92,1.9,1.91,756.317871,"flat","0",9,"AT",75,"SX",20,"ACT",5,"Sentinel 2",0,20,0,0,0,0,75,5,20,80,100,2006,"IBM","M",30,10811855,"093L007",35978751,"N",31.1,"P","B","F","D","T","U","TB","SP",2013,2015-02-13,2016-01-01,3,20,6,"HE",8,45,5,2,5,"RI",3,5,"RS",NA,NA,"",10,"TB",100,6,"",NA,NA,NA,NA,NA,"DND","SBS","dk",NA,NA,"IBM",2013-01-01,50,"N",NA,21.932,"",NA,10,1,16.5,5.13103,144,200,3,3,"AT",75,"SX",20,"ACT",5,"",NA,NA,NA,NA,NA,83,5,83,5,21.4,3,19.7,3,16.441,5.828,1.007,NA,23.276,24.457,16.603,2.975,0.761,3.282,654224,5987371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,957741.785023956,1001093.19317731,TRUE
